timestamp,open,high,low,close
2025-11-01 00:30:00,3848.0,3849.98,3831.0,3847.52
2025-11-01 01:30:00,3847.52,3860.91,3843.0,3844.17
2025-11-01 02:00:00,3844.16,3848.6,3836.67,3847.3
2025-11-01 02:30:00,3847.3,3855.02,3838.96,3852.26
2025-11-01 03:00:00,3852.27,3859.1,3851.52,3856.49
2025-11-01 03:30:00,3856.49,3864.43,3854.95,3861.38
2025-11-01 04:00:00,3861.38,3868.85,3855.36,3862.73
2025-11-01 05:00:00,3862.73,3869.55,3858.22,3864.19
2025-11-01 05:30:00,3864.18,3866.6,3853.67,3855.47
2025-11-01 06:00:00,3855.47,3859.45,3852.96,3855.18
2025-11-01 06:30:00,3855.18,3861.35,3853.12,3858.65
2025-11-01 07:30:00,3858.65,3867.41,3856.71,3860.84
2025-11-01 08:00:00,3860.84,3870.5,3860.73,3867.46
2025-11-01 13:00:00,3867.47,3882.94,3866.49,3874.93
2025-11-01 14:30:00,3874.93,3877.0,3858.11,3873.42
2025-11-01 15:30:00,3873.41,3902.0,3871.4,3895.15
2025-11-01 16:30:00,3895.15,3909.39,3886.01,3892.23
2025-11-01 17:00:00,3892.24,3894.24,3868.82,3869.4
2025-11-01 17:30:00,3869.4,3875.85,3862.92,3865.96
2025-11-01 18:00:00,3865.96,3877.44,3863.95,3870.39
2025-11-01 19:00:00,3870.4,3880.72,3869.56,3874.07
2025-11-01 19:30:00,3874.08,3880.9,3871.21,3879.99
2025-11-01 20:00:00,3880.0,3889.21,3879.0,3889.21
2025-11-01 20:30:00,3889.2,3891.6,3879.79,3881.49
2025-11-01 21:30:00,3881.5,3884.49,3867.67,3867.68
2025-11-01 22:00:00,3867.67,3874.33,3864.31,3870.74
2025-11-01 22:30:00,3870.73,3875.88,3869.2,3874.68
2025-11-01 23:00:00,3874.67,3875.79,3868.9,3874.03
2025-11-01 23:30:00,3874.04,3876.92,3871.06,3873.77
2025-11-02 00:00:00,3873.78,3874.06,3865.33,3866.58
2025-11-02 00:30:00,3866.57,3870.51,3861.71,3866.26
2025-11-02 01:00:00,3866.27,3874.44,3862.12,3874.41
