start_idx,end_idx,start_price,end_price,direction,macd_area,amplitude
2,9,4.7,4.76,up,0.0002738026774849094,0.05999999999999961
9,13,4.76,4.679,down,0.0011820248995887987,0.08099999999999952
13,20,4.679,4.743,up,0.005453998775127807,0.06400000000000006
20,29,4.743,4.642,down,0.002150194016298878,0.10099999999999998
29,43,4.642,4.658,up,0.0001995260453875121,0.016000000000000014
43,60,4.658,4.645,down,0.034165122651013936,0.013000000000000789
60,72,4.645,4.73,up,0.0387100616304829,0.08500000000000085
72,80,4.73,4.714,down,0.0,0.016000000000000014
